date,Time precision,country,Country ISO,Latitude,Longitude,Geo precision,Admin 1,Location where sexual violence was committed,Event Description,Reported Perpetrator,Perpetrator Group Name,Single and group perpetrators ,Weapon Carried/Used,Survivor or Victim,Survivor Or Victim Sex,Adult or Minor ,Type,SV Context,Classification,Number of reported victims,Reported deaths following the sexual violence,SiND Event ID
#date +occurred,,#country,#country_ISO,#geo +lac,#geo +lon,,#adm1,#loc,,#group +perp,#group +perp +name,,#weapons,,#sex,,,,,,,
03/05/2020,Exact Date,DRC,COD,-3.423977977,29.12818944,"(3)District, Communicipality or Commune ",South Kivu,No information ,"May 2020: In South Kivu province, a 35-year-old woman was raped by a FARDC soldier. He stole $66 and killed three of the woman's pigs. ",State military,Forces ArmÃ©es de la RÃ©publique DÃ©mocratique du Congo,Single perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,SV by security personnel,Single rape/sv assault ,1,,25540
08/05/2020,Exact Date,Nigeria,NGA,6.233849717,6.650843398,(2)25 km precision ,Delta,No information ,"In May 2020 in the Delta region, a local militia attacked a Fulani settlement sexually assaulting women and destroying property. ",NSA,Militia,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,2,,25551
29/05/2020,Exact Date,South Sudan,SSD,4.830454913,31.56286221,(1)Exact location,Central Equatoria,Victims home ,"May 2020: In Central Equatoria state, two young women were held at gunpoint and gang-raped by six men - three of whom were armed soldiers in military uniform. Their home was robbed and neighbouring properties were looted.",State military,South Sudan People's Defence Force,Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,SV by security personnel,Mass SV assault,2,,25552
08/06/2020,Exact Date,DRC,COD,-1.191472942,29.44106951,"(3)District, Communicipality or Commune ",Northern Province,No information ,"June 2020: In North Kivu province, FDLR-FOCA rebels reportedly killed one of their members who was attempting to rape a woman.",NSA,Forces dÃ©mocratiques de libÃ©ration du Rwanda,Single perpetrator,Firearms,Civilian ,Female,"Adult, ",AttemptedSexualAssault,CRSV,Single rape/sv assault ,1,,25649
13/06/2020,Exact Date,DRC,COD,1.352566007,29.03549194,"(3)District, Communicipality or Commune ",Ituri,No information ,"June 2020: In Ituri province, a FARDC soldier abducted and robbed 13 civilians, and raped two women. The soldier was arrested by his FARDC superiors two days later",State military,Forces ArmÃ©es de la RÃ©publique DÃ©mocratique du Congo,Single perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,SV by security personnel,One to Many Rape,2,,25651
23/06/2020,Exact Date,DRC,COD,-0.163421409,29.2387376,"(3)District, Communicipality or Commune ",North Kivu,No information ,"June 2020: In North Kivu, a Mai-Mai FPP commander known as Kabido reportedly raped two women.",NSA,Mai Mai militia,Single perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,One to Many Rape,2,,25652
06/06/2020,Close -The exact date is within 2-6 days of the indicated date,South Sudan,SSD,4.075233901,30.67290245,"(3)District, Communicipality or Commune ",Central Equatoria,No information ,"June 2020: In Central Equatoria state, three South Sudan People's Defence Forces (SSPDF) soldiersâ€™ gang-raped a 14-year-old girl. One soldier was arrested a few days later",State military,South Sudan People's Defence Force,Group perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,SV by security personnel,Gang SV assault,1,,25666
12/06/2020,Exact Date,Sudan,SDN,12.55277636,23.22503642,"(4)Province, State, Governorate ",Central Darfur,No information ,"June 2020: In Central Darfur state, a woman and four of her daughters were raped during fighting between two factions of the Sudan Liberation Army.",NSA,Sudan Liberation Movement/Army,Group perpetrator,Firearms,Civilian ,Female,"Unspecified, Adult, ",Rape,CRSV,Mass SV assault,5,,25692
01/08/2020,Year -The event occurred in this year,Nigeria,NGA,6.577303118,3.430502584,"(4)Province, State, Governorate ",Lagos,School,"September 2020: In gun state, police arrested a male teacher of a private school, after a 15-year-old student informed the school proprietress that he had been raping and blackmailing her repeatedly since the reopening of the school. ",Employee,Employee,Single perpetrator,Firearms,Civilian ,Female,"Minor, ",Rape,Safeguarding,Single rape/sv assault ,1,,25739
22/06/2020,Month- The event occurred within this month,Sudan,SDN,13.60327813,25.36195072,(1)Exact location,North Darfur State,No information ,June 2020: increasing number of militiamen and armed security forces have been raping displaced women and girls as they leave their camp for work.,Multiple,"Militia, Sudanese Armed Forces",Group perpetrator,Firearms,Civilian ,Female,"Adult, ",Rape,CRSV,Mass SV assault,2,,25753
